Name,Type,Distance,Hours,Description,Website,MapLink,
Glenora,"Wine, Chocolate",17 minutes,10am - 5pm,Serves reasonably priced food. Can do pairings of wine and chocolate.,https://www.glenora.com/,"https://www.google.com/maps/place/Glenora+Wine+Cellars/@42.4982562,-76.9212987,16.25z/data=!4m21!1m15!4m14!1m6!1m2!1s0x89d0e9ced2d7860f:0x3b41451dbd9c5aab!2sDreaming+a+View,+Charles+Street,+Dresden,+NY!2m2!1d-76.956587!2d42.68703!1m6!1m2!1s0x89d0f6acb381f40b:0x70d0e05b5b2377fb!2sStarkey's+Lookout,+5428+NY-14,+Dundee,+NY+14837!2m2!1d-76.9252844!2d42.501164!3m4!1s0x89d0f6ac9c24e077:0x104e62db39a0dd92!8m2!3d42.500105!4d-76.9238448",
Fulkerson Winery,Wine,17 minutes,10am - 5pm,"Tastings, tour will not be started yet",https://www.fulkersonwinery.com/,"https://www.google.com/maps/place/Fulkerson+Winery/@42.4982562,-76.9212987,16.25z/data=!4m21!1m15!4m14!1m6!1m2!1s0x89d0e9ced2d7860f:0x3b41451dbd9c5aab!2sDreaming+a+View,+Charles+Street,+Dresden,+NY!2m2!1d-76.956587!2d42.68703!1m6!1m2!1s0x89d0f6acb381f40b:0x70d0e05b5b2377fb!2sStarkey's+Lookout,+5428+NY-14,+Dundee,+NY+14837!2m2!1d-76.9252844!2d42.501164!3m4!1s0x89d0f6af2dbf25b9:0x12d6ee2f32ebd4e0!8m2!3d42.4926611!4d-76.9243893",
Rock Stream Vineyards,Wine,20 minutes,10am - 6pm,Smaller only a few wines,https://www.rockstreamvineyards.com/,"https://www.google.com/maps/place/Rock+Stream+Vineyards/@42.470487,-76.9202654,16.5z/data=!4m8!1m2!2m1!1swinery!3m4!1s0x0:0x5d59d4c9db8e953!8m2!3d42.4716162!4d-76.9196793",
Rooster Fish Brewing Pub,Beer ,27 minutes,11:30am - 9pm (10pm F & Sa),This is a bar that serves the rooster fish beer. Has a lot of food options. ,https://www.roosterfishbrewing.com/,"https://www.google.com/maps/place/Rooster+Fish+Brewing+Pub/@42.3812315,-76.8729805,17.5z/data=!4m8!1m2!2m1!1swinery!3m4!1s0x89d05f003f811347:0xf67c5fb1d338b777!8m2!3d42.3811208!4d-76.8742561",
Magnus Ridge Winery,Wine,19 minutes,11am - 5pm (6pm Sa),My need to schedule. It is not very clear on the website. Serves cheese with tasting.,https://www.magnusridge.com/,"https://www.google.com/maps/place/Magnus+Ridge+Winery/@42.4637135,-76.9250141,13.82z/data=!4m8!1m2!2m1!1swinery!3m4!1s0x0:0x484252740f426402!8m2!3d42.4648832!4d-76.9175094",
Pompus Ass Wine,Wine,20 minutes,11am - 6pm (F to Su only),Tasting bar,http://www.pompousasswinery.com/,"https://www.google.com/maps/place/Pompous+Ass+Wine+Co/@42.4239271,-76.9446289,13.05z/data=!4m8!1m2!2m1!1swinery!3m4!1s0x0:0x6ea5bcea2177fac9!8m2!3d42.4520247!4d-76.9095433",
Castel Grisch Winery,Wine,28 minutes,10am - 5pm (F to M only),Tasting available,https://castelgrisch.com/,"https://www.google.com/maps/place/Castel+Grisch+Winery/@42.5414818,-77.1158172,11z/data=!4m5!3m4!1s0x89d05f3918cc564f:0x617b2ee4c4ebb401!8m2!3d42.396767!4d-76.901166",
Seneca Harbor Wine Center,Wine,26 minutes,10am - 5pm (F-Su only),Small tasting bar,,"https://www.google.com/maps/place/Seneca+Harbor+Wine+Center/@42.3868052,-76.8897766,14.83z/data=!4m8!1m2!2m1!1swinery!3m4!1s0x0:0x7f71f26be28de519!8m2!3d42.3834606!4d-76.8748409",
Barnstormer WInery,WIne,21 minutes,11am - 5pm (10am Sa & Su),170 Year old winery,http://www.barnstormerwinery.com/,"https://www.google.com/maps/place/Barnstormer+Winery/@42.4277902,-76.9114416,14.85z/data=!4m8!1m2!2m1!1swinery!3m4!1s0x0:0x93f0d6c589195ed0!8m2!3d42.4357429!4d-76.9069737",
Lakewood Vineyards,Wine,22 minutes,10am - 5pm (12pm Su),Family run winery. ,https://lakewoodvineyards.com/,"https://www.google.com/maps/place/Lakewood+Vineyards+Inc/@42.4342405,-76.924157,14.04z/data=!4m8!1m2!2m1!1swinery!3m4!1s0x0:0x3c719092bc686c8!8m2!3d42.4289368!4d-76.9060832",
Anthony Road Wine Company,Wine,5 minutes,11am - 5pm,"Family run winery. Need a reservation for over 8 people. Beautiful Gardens, Closed Easter",http://www.anthonyroadwine.com/index.asp,"https://www.google.com/maps/place/Anthony+Road+Wine+Company/@42.7051285,-76.9735274,15.7z/data=!4m9!1m3!2m2!1swinery!6e5!3m4!1s0x0:0x21dae90596ef98c0!8m2!3d42.7050433!4d-76.9735301",
Kemmeter Wines,Wine,5 mintues,"1:30pm - 5:30pm (Th, F, & Sa only)",Need to make an appointment to taste,https://www.kemmeterwines.com/,"https://www.google.com/maps/place/Kemmeter+Wines/@42.698287,-76.9832307,14z/data=!4m8!1m2!2m1!1swinery!3m4!1s0x0:0x909658d39fc794fb!8m2!3d42.7060643!4d-76.9764054",
Seneca Shore Wine Cellars,Wine,7 minutes,10am - 5pm,Medieval Wines of the Finger Lakes,https://senecawine.com/,"https://www.google.com/maps/place/Seneca+Shore+Wine+Cellars/@42.7149037,-76.9725579,17z/data=!4m8!1m2!2m1!1swinery!3m4!1s0x0:0xf9ec04bc36e4fe5c!8m2!3d42.7149036!4d-76.9703704",
Serenity Vineyards,Wine,6 minutes,10am - 5pm (F & Sa only),Specialize in dry wines,,"https://www.google.com/maps/place/Serenity+Vineyards/@42.7106495,-76.9766217,14z/data=!4m8!1m2!2m1!1swinery!3m4!1s0x0:0xf0483a5c684bfdab!8m2!3d42.7178183!4d-76.9707191",
Red Tail Ridge Winery,Wine,6 minutes,10am - 5pm (11 am Su),open Easter,https://www.redtailridgewinery.com/,"https://www.google.com/maps/place/Red+Tail+Ridge+Winery/@42.722296,-76.9767076,14z/data=!4m8!1m2!2m1!1swinery!3m4!1s0x0:0xf9d258cebee37468!8m2!3d42.7234264!4d-76.9758528",
Monello Winery,Wine,6 minutes,TBD,,https://www.monellowinery.com/,"https://www.google.com/maps/place/Monello+Winery/@42.7054426,-77.0007406,13z/data=!4m8!1m2!2m1!1swinery!3m4!1s0x0:0x156d2ca26a3835f1!8m2!3d42.7300143!4d-76.9708559",
Villa Bellanglo,Wine,14 minutes,"11am - 5pm (F, Sa, & Su only)","Elegant, can schedule a group tasting. (Not sure if you HAVE to schedule one) ",https://www.bellangelo.com/,"https://www.google.com/maps/place/Villa+Bellangelo/@42.5668349,-76.9201325,16.83z/data=!4m12!1m6!3m5!1s0x89d0f21d7b18c1a5:0x47c8f347a54f65c5!2sVilla+Bellangelo!8m2!3d42.566532!4d-76.917697!3m4!1s0x89d0f21d7b18c1a5:0x47c8f347a54f65c5!8m2!3d42.566532!4d-76.917697?hl=en",
Billsboro Winery,Wine,11 minutes,11am - 5pm (W - Su),"Tasting room, Requires a reservation for 8 - 15 people.",https://www.billsborowinery.com/,"https://www.google.com/maps/place/Billsboro+Winery/@42.7397096,-77.0374645,12z/data=!4m9!1m3!2m2!1swinery!6e5!3m4!1s0x0:0x95ce3751fdce2dc6!8m2!3d42.7985969!4d-76.9793183",
White Springs Winery,"Wine, Beer",14 minutes,10am - 5pm ,Group over 8 needs an appointment for tastings (has to be before 12:45pm),https://whitespringswinery.com/,"https://www.google.com/maps/place/White+Springs+Winery/@42.8281413,-76.9795958,15.61z/data=!4m8!1m2!2m1!1swinery!3m4!1s0x0:0xf9a7485cdf19c33d!8m2!3d42.8295959!4d-76.9815123",
